KEGG	GLYCOLYSIS GLUCONEOGENESIS	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_GLYCOLYSIS_GLUCONEOGENESIS.html	LDHC,LDHB,LDHA,PGAM1,ADH1C,PGAM2,ADH1B,ADH1A,ACSS2,PDHB,ACSS1,PGAM4,PDHA2,PDHA1,LDHAL6B,PFKL,LDHAL6A,FBP1,PFKP,ALDH3B2,FBP2,PFKM,ALDH3B1,PGM2,G6PC,ALDH7A1,ALDH1B1,PKM2,PGM1,DLD,PKLR,ALDH9A1,ALDOA,ALDOC,ALDOB,ADH5,HK2,HK1,ADH6,ADH7,ALDH3A2,G6PC2,ALDH3A1,GALM,TPI1,AKR1A1,ADH4,HK3,ALDH1A3,ENO2,ENO3,GAPDH,ENO1,BPGM,DLAT,PCK2,PCK1,GPI,GCK,ALDH2,PGK1,PGK2
KEGG	CITRATE CYCLE TCA CYCLE	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_CITRATE_CYCLE_TCA_CYCLE.html	LOC642502,OGDHL,OGDH,PDHB,IDH3G,LOC283398,IDH2,IDH1,PDHA2,PDHA1,SUCLA2,FH,DLST,ACO2,SUCLG2,ACO1,SUCLG1,CS,IDH3B,ACLY,DLAT,PCK2,IDH3A,PCK1,SDHA,SDHB,SDHC,SDHD,DLD,MDH2,PC,MDH1
KEGG	PENTOSE PHOSPHATE PATHWAY	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_PENTOSE_PHOSPHATE_PATHWAY.html	ALDOA,TALDO1,ALDOC,PGD,ALDOB,TKTL2,TKTL1,DERA,RPIA,PRPS1L1,PFKL,PFKP,FBP1,TKT,RBKS,PFKM,FBP2,LOC729020,PGM2,GPI,PGLS,RPE,G6PD,H6PD,PGM1,PRPS2,PRPS1
KEGG	PENTOSE AND GLUCURONATE INTERCONVERSIONS	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS.html	UGDH,UGT1A7,UGT1A6,UGT1A9,CRYL1,UGT1A8,UGT1A3,UGT1A5,UGT1A4,UGT2A1,UGT2A3,UGT2B28,GUSB,LOC729020,UGT1A1,DHDH,UGT1A10,RPE,UGT2B17,AKR1B1,UGT2B11,UGT2B4,UGT2B10,UGT2B15,DCXR,UGP2,UGT2B7,XYLB
KEGG	FRUCTOSE AND MANNOSE METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM.html	ALDOA,SORD,PFKFB4,PFKFB3,ALDOC,PFKFB2,ALDOB,PFKFB1,HK2,HK1,GMPPB,MTMR2,TPI1,MTMR1,HK3,GMPPA,TSTA3,MTMR6,MTMR7,PFKL,GMDS,PFKP,FBP1,PFKM,FBP2,PMM2,PMM1,KHK,MPI,AKR1B10,AKR1B1,FUK,PHPT1,FPGT
KEGG	GALACTOSE METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_GALACTOSE_METABOLISM.html	LALBA,HK2,HK1,GLB1,G6PC2,GALK2,GALK1,HK3,GALE,B4GALT1,B4GALT2,PFKL,PFKP,GALT,PFKM,PGM2,G6PC,GCK,GLA,GANC,MGAM,PGM1,AKR1B1,GAA,LCT,UGP2
KEGG	ASCORBATE AND ALDARATE METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_ASCORBATE_AND_ALDARATE_METABOLISM.html	UGDH,ALDH3A2,UGT1A7,UGT1A6,UGT1A9,UGT1A8,UGT1A3,UGT1A5,MIOX,UGT1A4,UGT2A1,UGT2A3,UGT2B28,UGT1A1,UGT1A10,ALDH7A1,UGT2B17,ALDH1B1,ALDH2,UGT2B11,UGT2B4,UGT2B10,UGT2B15,ALDH9A1,UGT2B7
KEGG	FATTY ACID METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_FATTY_ACID_METABOLISM.html	ACOX1,ACADSB,CPT2,EHHADH,ADH1C,ADH5,ADH6,ADH1B,ECHS1,ADH1A,ADH7,ACAT2,ACAT1,DCI,ALDH3A2,HADHA,ACOX3,HADHB,ACSL1,CYP4A22,ADH4,ACSL4,HADH,ACSL3,ACSL6,ACSL5,CPT1C,CPT1B,GCDH,ACAA2,ACADM,ACADS,ACADL,PECI,CPT1A,ACADVL,CYP4A11,ALDH7A1,ALDH1B1,ALDH2,ALDH9A1,ACAA1
KEGG	STEROID BIOSYNTHESIS	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_STEROID_BIOSYNTHESIS.html	TM7SF2,SOAT1,SOAT2,EBP,LIPA,CYP51A1,LSS,SC4MOL,FDFT1,CEL,CYP27B1,SQLE,DHCR7,HSD17B7,SC5DL,NSDHL,DHCR24
KEGG	PRIMARY BILE ACID BIOSYNTHESIS	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS.html	ACOX2,CYP46A1,HSD3B7,AMACR,CYP7B1,CYP39A1,BAAT,AKR1C4,CYP27A1,CH25H,CYP7A1,HSD17B4,CYP8B1,SCP2,AKR1D1,SLC27A5
